s1-eth1_in: pkt count = 30, throughtput = 750
s1-eth1_out: pkt count = 30, throughtput = 780
s1-eth2_in: pkt count = 30, throughtput = 750
s1-eth2_out: pkt count = 30, throughtput = 780
s1-eth3_in: pkt count = 60, throughtput = 1440
s1-eth3_out: pkt count = 60, throughtput = 1440
s3-eth1_in: pkt count = 18, throughtput = 576
s3-eth1_out: pkt count = 30, throughtput = 840
s3-eth2_in: pkt count = 12, throughtput = 384
s3-eth2_out: pkt count = 30, throughtput = 840
s4-eth1_in: pkt count = 12, throughtput = 384
s4-eth1_out: pkt count = 30, throughtput = 840
s4-eth2_in: pkt count = 18, throughtput = 576
s4-eth2_out: pkt count = 30, throughtput = 840
s5-eth1_in: pkt count = 18, throughtput = 576
s5-eth1_out: pkt count = 30, throughtput = 840
s5-eth2_in: pkt count = 12, throughtput = 384
s5-eth2_out: pkt count = 30, throughtput = 840
s6-eth1_in: pkt count = 18, throughtput = 576
s6-eth1_out: pkt count = 30, throughtput = 840
s6-eth2_in: pkt count = 12, throughtput = 384
s6-eth2_out: pkt count = 30, throughtput = 840
s7-eth1_in: pkt count = 12, throughtput = 384
s7-eth1_out: pkt count = 30, throughtput = 840
s7-eth2_in: pkt count = 18, throughtput = 576
s7-eth2_out: pkt count = 30, throughtput = 840
s8-eth1_in: pkt count = 12, throughtput = 384
s8-eth1_out: pkt count = 30, throughtput = 840
s8-eth2_in: pkt count = 18, throughtput = 576
s8-eth2_out: pkt count = 30, throughtput = 840
s9-eth1_in: pkt count = 15, throughtput = 390
s9-eth1_out: pkt count = 15, throughtput = 420
s9-eth2_in: pkt count = 15, throughtput = 390
s9-eth2_out: pkt count = 15, throughtput = 420
s9-eth3_in: pkt count = 30, throughtput = 780
s9-eth3_out: pkt count = 30, throughtput = 750
s10-eth1_in: pkt count = 15, throughtput = 390
s10-eth1_out: pkt count = 15, throughtput = 420
s10-eth2_in: pkt count = 15, throughtput = 390
s10-eth2_out: pkt count = 15, throughtput = 420
s10-eth3_in: pkt count = 30, throughtput = 780
s10-eth3_out: pkt count = 30, throughtput = 750
s11-eth1_in: pkt count = 12, throughtput = 360
s11-eth1_out: pkt count = 15, throughtput = 405
s11-eth2_in: pkt count = 12, throughtput = 360
s11-eth2_out: pkt count = 15, throughtput = 405
s11-eth3_in: pkt count = 30, throughtput = 840
s11-eth3_out: pkt count = 18, throughtput = 576
s11-eth4_in: pkt count = 30, throughtput = 840
s11-eth4_out: pkt count = 12, throughtput = 384
s12-eth1_in: pkt count = 12, throughtput = 360
s12-eth1_out: pkt count = 15, throughtput = 405
s12-eth2_in: pkt count = 12, throughtput = 360
s12-eth2_out: pkt count = 15, throughtput = 405
s12-eth3_in: pkt count = 30, throughtput = 840
s12-eth3_out: pkt count = 12, throughtput = 384
s12-eth4_in: pkt count = 30, throughtput = 840
s12-eth4_out: pkt count = 18, throughtput = 576
s13-eth1_in: pkt count = 15, throughtput = 450
s13-eth1_out: pkt count = 15, throughtput = 405
s13-eth2_in: pkt count = 12, throughtput = 360
s13-eth2_out: pkt count = 15, throughtput = 405
s13-eth3_in: pkt count = 30, throughtput = 840
s13-eth3_out: pkt count = 18, throughtput = 576
s13-eth4_in: pkt count = 30, throughtput = 840
s13-eth4_out: pkt count = 18, throughtput = 576
s14-eth1_in: pkt count = 12, throughtput = 360
s14-eth1_out: pkt count = 15, throughtput = 405
s14-eth2_in: pkt count = 9, throughtput = 270
s14-eth2_out: pkt count = 15, throughtput = 405
s14-eth3_in: pkt count = 30, throughtput = 840
s14-eth3_out: pkt count = 12, throughtput = 384
s14-eth4_in: pkt count = 30, throughtput = 840
s14-eth4_out: pkt count = 12, throughtput = 384
s15-eth1_in: pkt count = 9, throughtput = 270
s15-eth1_out: pkt count = 15, throughtput = 405
s15-eth2_in: pkt count = 12, throughtput = 360
s15-eth2_out: pkt count = 15, throughtput = 405
s15-eth3_in: pkt count = 30, throughtput = 840
s15-eth3_out: pkt count = 12, throughtput = 384
s15-eth4_in: pkt count = 30, throughtput = 840
s15-eth4_out: pkt count = 12, throughtput = 384
s16-eth1_in: pkt count = 12, throughtput = 360
s16-eth1_out: pkt count = 15, throughtput = 405
s16-eth2_in: pkt count = 15, throughtput = 450
s16-eth2_out: pkt count = 15, throughtput = 405
s16-eth3_in: pkt count = 30, throughtput = 840
s16-eth3_out: pkt count = 18, throughtput = 576
s16-eth4_in: pkt count = 30, throughtput = 840
s16-eth4_out: pkt count = 18, throughtput = 576
s17-eth1_in: pkt count = 15, throughtput = 420
s17-eth1_out: pkt count = 15, throughtput = 390
s17-eth2_in: pkt count = 15, throughtput = 405
s17-eth2_out: pkt count = 12, throughtput = 360
s17-eth3_in: pkt count = 15, throughtput = 405
s17-eth3_out: pkt count = 15, throughtput = 450
s17-eth4_in: pkt count = 15, throughtput = 405
s17-eth4_out: pkt count = 9, throughtput = 270
s18-eth1_in: pkt count = 15, throughtput = 420
s18-eth1_out: pkt count = 15, throughtput = 390
s18-eth2_in: pkt count = 15, throughtput = 405
s18-eth2_out: pkt count = 12, throughtput = 360
s18-eth3_in: pkt count = 15, throughtput = 405
s18-eth3_out: pkt count = 12, throughtput = 360
s18-eth4_in: pkt count = 15, throughtput = 405
s18-eth4_out: pkt count = 12, throughtput = 360
s19-eth1_in: pkt count = 15, throughtput = 420
s19-eth1_out: pkt count = 15, throughtput = 390
s19-eth2_in: pkt count = 15, throughtput = 405
s19-eth2_out: pkt count = 12, throughtput = 360
s19-eth3_in: pkt count = 15, throughtput = 405
s19-eth3_out: pkt count = 12, throughtput = 360
