Kpps,Type
15.4,MonAggr
15.4,MonAggr
17.6,MonAggr
17.6,MonAggr
33,MonAggr
33,MonAggr
6.6,MonAggr
15.4,MonAggr
4.4,MonAggr
17.6,MonAggr
6.6,MonAggr
15.4,MonAggr
4.4,MonAggr
17.6,MonAggr
2.2,MonAggr
15.4,MonAggr
8.8,MonAggr
17.6,MonAggr
2.2,MonAggr
15.4,MonAggr
8.8,MonAggr
17.6,MonAggr
6.6,MonAggr
15.4,MonAggr
4.4,MonAggr
17.6,MonAggr
6.6,MonAggr
15.4,MonAggr
4.4,MonAggr
17.6,MonAggr
6.6,MonAggr
6.6,MonAggr
8.8,MonAggr
8.8,MonAggr
15.4,MonAggr
15.4,MonAggr
8.8,MonAggr
8.8,MonAggr
8.8,MonAggr
8.8,MonAggr
17.6,MonAggr
17.6,MonAggr
4.4,MonAggr
6.6,MonAggr
6.6,MonAggr
8.8,MonAggr
15.4,MonAggr
6.6,MonAggr
15.4,MonAggr
6.6,MonAggr
4.4,MonAggr
8.8,MonAggr
4.4,MonAggr
8.8,MonAggr
17.6,MonAggr
4.4,MonAggr
17.6,MonAggr
4.4,MonAggr
2.2,MonAggr
6.6,MonAggr
2.2,MonAggr
8.8,MonAggr
15.4,MonAggr
2.2,MonAggr
15.4,MonAggr
2.2,MonAggr
8.8,MonAggr
8.8,MonAggr
6.6,MonAggr
8.8,MonAggr
17.6,MonAggr
8.8,MonAggr
17.6,MonAggr
8.8,MonAggr
6.6,MonAggr
6.6,MonAggr
6.6,MonAggr
8.8,MonAggr
15.4,MonAggr
6.6,MonAggr
15.4,MonAggr
6.6,MonAggr
2.2,MonAggr
8.8,MonAggr
4.4,MonAggr
8.8,MonAggr
17.6,MonAggr
4.4,MonAggr
17.6,MonAggr
4.4,MonAggr
6.6,MonAggr
6.6,MonAggr
6.6,MonAggr
4.4,MonAggr
6.6,MonAggr
2.2,MonAggr
6.6,MonAggr
6.6,MonAggr
8.8,MonAggr
8.8,MonAggr
8.8,MonAggr
6.6,MonAggr
8.8,MonAggr
2.2,MonAggr
8.8,MonAggr
6.6,MonAggr
8.8,MonAggr
8.8,MonAggr
8.8,MonAggr
4.4,MonAggr
8.8,MonAggr
8.8,MonAggr
8.8,MonAggr
2.2,MonAggr
8.8,MonAggr
8.8,MonAggr
8.8,MonAggr
4.4,MonAggr
8.8,MonAggr
6.6,MonAggr
8.8,MonAggr
4.4,MonAggr
33,SNMP
33,SNMP
33,SNMP
33,SNMP
66,SNMP
132,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
16.5,SNMP
16.5,SNMP
16.5,SNMP
16.5,SNMP
33,SNMP
33,SNMP
16.5,SNMP
16.5,SNMP
16.5,SNMP
16.5,SNMP
33,SNMP
33,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
16.5,SNMP
16.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
16.5,SNMP
16.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
16.5,SNMP
16.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
16.5,SNMP
16.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
5.5,SNMP
