Ratio,Type
0.533333333,MonAggr
0.533333333,MonAggr
0.466666667,MonAggr
0.466666667,MonAggr
1,MonAggr
1,MonAggr
0.4,MonAggr
0.533333333,MonAggr
0.266666667,MonAggr
0.466666667,MonAggr
0.4,MonAggr
0.533333333,MonAggr
0.266666667,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.4,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.4,MonAggr
0.466666667,MonAggr
0.4,MonAggr
0.533333333,MonAggr
0.266666667,MonAggr
0.466666667,MonAggr
0.4,MonAggr
0.533333333,MonAggr
0.266666667,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.533333333,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.2,MonAggr
0.466666667,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.4,MonAggr
0.533333333,MonAggr
0.4,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.2,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.2,MonAggr
0.466666667,MonAggr
0.4,MonAggr
0.466666667,MonAggr
0.4,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.4,MonAggr
0.533333333,MonAggr
0.4,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.2,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
2,SNMP
2,SNMP
2,SNMP
2,SNMP
4,SNMP
8,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
1,SNMP
1,SNMP
1,SNMP
1,SNMP
2,SNMP
2,SNMP
1,SNMP
1,SNMP
1,SNMP
1,SNMP
2,SNMP
2,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
1,SNMP
1,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
1,SNMP
1,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
1,SNMP
1,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
1,SNMP
1,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
0.333333333,SNMP
