pcnt,ecnt,type
28,2,MonAggr
28,2,MonAggr
32,2,MonAggr
32,2,MonAggr
60,2,MonAggr
60,2,MonAggr
12,2,MonAggr
28,2,MonAggr
8,2,MonAggr
32,2,MonAggr
12,2,MonAggr
28,2,MonAggr
8,2,MonAggr
32,2,MonAggr
4,2,MonAggr
28,2,MonAggr
16,2,MonAggr
32,2,MonAggr
4,2,MonAggr
28,2,MonAggr
16,2,MonAggr
32,2,MonAggr
12,2,MonAggr
28,2,MonAggr
8,2,MonAggr
32,2,MonAggr
12,2,MonAggr
28,2,MonAggr
8,2,MonAggr
32,2,MonAggr
12,2,MonAggr
12,2,MonAggr
16,2,MonAggr
16,2,MonAggr
28,2,MonAggr
28,2,MonAggr
16,2,MonAggr
16,2,MonAggr
16,2,MonAggr
16,2,MonAggr
32,2,MonAggr
32,2,MonAggr
8,2,MonAggr
12,2,MonAggr
12,2,MonAggr
16,2,MonAggr
28,2,MonAggr
12,2,MonAggr
28,2,MonAggr
12,2,MonAggr
8,2,MonAggr
16,2,MonAggr
8,2,MonAggr
16,2,MonAggr
32,2,MonAggr
8,2,MonAggr
32,2,MonAggr
8,2,MonAggr
4,2,MonAggr
12,2,MonAggr
4,2,MonAggr
16,2,MonAggr
28,2,MonAggr
4,2,MonAggr
28,2,MonAggr
4,2,MonAggr
16,2,MonAggr
16,2,MonAggr
12,2,MonAggr
16,2,MonAggr
32,2,MonAggr
16,2,MonAggr
32,2,MonAggr
16,2,MonAggr
12,2,MonAggr
12,2,MonAggr
12,2,MonAggr
16,2,MonAggr
28,2,MonAggr
12,2,MonAggr
28,2,MonAggr
12,2,MonAggr
4,2,MonAggr
16,2,MonAggr
8,2,MonAggr
16,2,MonAggr
32,2,MonAggr
8,2,MonAggr
32,2,MonAggr
8,2,MonAggr
12,2,MonAggr
12,2,MonAggr
12,2,MonAggr
8,2,MonAggr
12,2,MonAggr
4,2,MonAggr
12,2,MonAggr
12,2,MonAggr
16,2,MonAggr
16,2,MonAggr
16,2,MonAggr
12,2,MonAggr
16,2,MonAggr
4,2,MonAggr
16,2,MonAggr
12,2,MonAggr
16,2,MonAggr
16,2,MonAggr
16,2,MonAggr
8,2,MonAggr
16,2,MonAggr
16,2,MonAggr
16,2,MonAggr
4,2,MonAggr
16,2,MonAggr
16,2,MonAggr
16,2,MonAggr
8,2,MonAggr
16,2,MonAggr
12,2,MonAggr
16,2,MonAggr
8,2,MonAggr
60,2,SNMP
60,2,SNMP
60,2,SNMP
60,2,SNMP
120,2,SNMP
240,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
30,2,SNMP
30,2,SNMP
30,2,SNMP
30,2,SNMP
60,2,SNMP
60,2,SNMP
30,2,SNMP
30,2,SNMP
30,2,SNMP
30,2,SNMP
60,2,SNMP
60,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
30,2,SNMP
30,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
30,2,SNMP
30,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
30,2,SNMP
30,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
30,2,SNMP
30,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
10,2,SNMP
30,3,MonAggr
30,3,MonAggr
30,3,MonAggr
30,3,MonAggr
60,3,MonAggr
60,3,MonAggr
18,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
30,3,MonAggr
30,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
30,3,MonAggr
30,3,MonAggr
12,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
12,3,MonAggr
12,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
18,3,MonAggr
15,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
18,3,MonAggr
12,3,MonAggr
15,3,MonAggr
9,3,MonAggr
15,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
12,3,MonAggr
9,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
30,3,MonAggr
12,3,MonAggr
30,3,MonAggr
12,3,MonAggr
12,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
30,3,MonAggr
18,3,MonAggr
30,3,MonAggr
18,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
9,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
15,3,MonAggr
15,3,MonAggr
12,3,MonAggr
15,3,MonAggr
9,3,MonAggr
15,3,MonAggr
15,3,MonAggr
90,3,SNMP
90,3,SNMP
90,3,SNMP
90,3,SNMP
180,3,SNMP
360,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
42,3,SNMP
45,3,SNMP
48,3,SNMP
45,3,SNMP
90,3,SNMP
90,3,SNMP
42,3,SNMP
45,3,SNMP
48,3,SNMP
45,3,SNMP
90,3,SNMP
90,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
16,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
16,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
16,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
16,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
16,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
16,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
15,3,SNMP
45,3,SNMP
42,3,SNMP
14,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
14,3,SNMP
15,3,SNMP
