Ratio,Type
0.466666667,MonAggr
0.533333333,MonAggr
1,MonAggr
0.2,MonAggr
0.133333333,MonAggr
0.2,MonAggr
0.133333333,MonAggr
0.066666667,MonAggr
0.266666667,MonAggr
0.066666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.133333333,MonAggr
0.2,MonAggr
0.133333333,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.466666667,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.533333333,MonAggr
0.133333333,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.133333333,MonAggr
0.133333333,MonAggr
0.133333333,MonAggr
0.133333333,MonAggr
0.066666667,MonAggr
0.066666667,MonAggr
0.066666667,MonAggr
0.066666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.2,MonAggr
0.066666667,MonAggr
0.133333333,MonAggr
0.133333333,MonAggr
0.133333333,MonAggr
0.2,MonAggr
0.133333333,MonAggr
0.066666667,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.2,MonAggr
0.066666667,MonAggr
0.2,MonAggr
0.266666667,MonAggr
0.133333333,MonAggr
0.266666667,MonAggr
0.066666667,MonAggr
0.266666667,MonAggr
0.133333333,MonAggr
0.2,MonAggr
0.133333333,MonAggr
1,SNMP
1,SNMP
2,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.5,SNMP
0.5,SNMP
1,SNMP
0.5,SNMP
0.5,SNMP
1,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.5,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.5,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.5,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.5,SNMP
0.166666667,SNMP
0.166666667,SNMP
0.166666667,SNMP
