Pkt Count,Type
32,MonAggr
28,MonAggr
60,MonAggr
24,MonAggr
16,MonAggr
24,MonAggr
16,MonAggr
16,MonAggr
24,MonAggr
16,MonAggr
24,MonAggr
24,MonAggr
16,MonAggr
24,MonAggr
16,MonAggr
16,MonAggr
16,MonAggr
32,MonAggr
16,MonAggr
12,MonAggr
28,MonAggr
16,MonAggr
16,MonAggr
24,MonAggr
24,MonAggr
12,MonAggr
12,MonAggr
16,MonAggr
16,MonAggr
16,MonAggr
12,MonAggr
16,MonAggr
16,MonAggr
16,MonAggr
12,MonAggr
24,MonAggr
24,MonAggr
12,MonAggr
16,MonAggr
24,MonAggr
24,MonAggr
16,MonAggr
12,MonAggr
16,MonAggr
16,MonAggr
16,MonAggr
16,MonAggr
16,MonAggr
12,MonAggr
16,MonAggr
16,MonAggr
12,MonAggr
16,MonAggr
16,MonAggr
12,MonAggr
16,MonAggr
16,MonAggr
12,MonAggr
12,MonAggr
12,MonAggr
12,MonAggr
120,SNMP
120,SNMP
240,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
60,SNMP
60,SNMP
120,SNMP
60,SNMP
60,SNMP
120,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
20,SNMP
60,SNMP
20,SNMP
20,SNMP
20,SNMP
60,SNMP
20,SNMP
20,SNMP
20,SNMP
60,SNMP
20,SNMP
20,SNMP
20,SNMP
60,SNMP
20,SNMP
20,SNMP
20,SNMP
