xscale,std,time,method,eval,
20,165.7,57.26,MILP,imba,﻿
25,279.65,63.81,MILP,imba,
30,412.88,56.55,MILP,imba,
35,546.25,43.24,MILP,imba,
40,671.6,37.42,MILP,imba,﻿
45,778.34,31.39,MILP,imba,﻿
50,942.38,21.45,MILP,imba,
55,1018.52,20.44,MILP,imba,
60,1174.69,17.09,MILP,imba,
65,1278.69,11.57,MILP,imba,
70,1404.48,8.44,MILP,imba,
75,1542.1,5.52,MILP,imba,
80,1663.06,3.35,MILP,imba,
20,178.8,1.1,LP,imba,
25,286.74,1.12,LP,imba,
30,417.45,1.11,LP,imba,
35,548.78,1.09,LP,imba,﻿
40,673.11,1.09,LP,imba,
45,779.57,1.07,LP,imba,﻿
50,943.12,1.1,LP,imba,
55,1019.04,1.1,LP,imba,
60,1175.09,1.1,LP,imba,
65,1278.87,1.09,LP,imba,
70,1404.6,1.03,LP,imba,
75,1542.14,1.12,LP,imba,
80,1663.11,1.06,LP,imba,
20,935.85,2.54,Greedy,imba,
25,1070.15,2.86,Greedy,imba,
30,1214.9,2.68,Greedy,imba,
35,1381.88,2.6,Greedy,imba,
40,1532.81,2.73,Greedy,imba,
45,1660.65,2.73,Greedy,imba,
50,1850.4,2.9,Greedy,imba,
55,1943.9,2.72,Greedy,imba,
60,2119.94,2.92,Greedy,imba,
65,2250.59,2.9,Greedy,imba,
70,2399.8,2.59,Greedy,imba,
75,2563.81,2.83,Greedy,imba,
80,2702.25,2.79,Greedy,imba,
16,89,23.38,MILP,scale,﻿
24,233.94,36.27,MILP,scale,
32,281.03,56.91,MILP,scale,
40,286.13,84.24,MILP,scale,
48,289.03,88.91,MILP,scale,
56,297.8,95.15,MILP,scale,
64,284.37,97.61,MILP,scale,
72,287.46,89.21,MILP,scale,
80,288.63,140.54,MILP,scale,﻿
88,281.71,144.01,MILP,scale,
96,276.36,116.9,MILP,scale,
104,271.36,120.59,MILP,scale,
112,256.68,156.07,MILP,scale,
120,253.04,160.52,MILP,scale,
128,257.85,147.23,MILP,scale,
16,153.58,1.1,LP,scale,
24,245.76,1.07,LP,scale,
32,287.63,1.14,LP,scale,
40,292.23,1.11,LP,scale,
48,292.8,1.12,LP,scale,
56,301.46,1.1,LP,scale,
64,287.68,1.15,LP,scale,
72,290.31,1.15,LP,scale,
80,291.48,1.13,LP,scale,
88,284.04,1.16,LP,scale,
96,278.38,1.47,LP,scale,
104,273.51,1.53,LP,scale,
112,258.86,1.44,LP,scale,
120,254.96,1.53,LP,scale,
128,259.51,1.54,LP,scale,
16,1611.08,2.87,Greedy,scale,
24,1267.09,2.64,Greedy,scale,
32,1063.96,2.91,Greedy,scale,
40,923.79,2.93,Greedy,scale,
48,829.32,2.92,Greedy,scale,
56,769.71,3.02,Greedy,scale,
64,694.68,2.55,Greedy,scale,
72,657.71,2.6,Greedy,scale,﻿
80,627.11,2.79,Greedy,scale,
88,595.03,2.8,Greedy,scale,
96,569.73,2.82,Greedy,scale,
104,539.45,2.78,Greedy,scale,
112,505.93,2.93,Greedy,scale,
120,489.09,2.79,Greedy,scale,
128,482.66,2.72,Greedy,scale,
